DP_PRIMARY_ID,Grantee Name,Grant Number,HRSA Key Program,County Name,State Abbreviation,Grant Activity Code,Program Name,Financial Assistance,Award Year
P06HA30503,Roper St. Francis Foundation,P06HA30503,HIV/AIDS,Charleston County,SC,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),50600.00,2016
H89HA00049,"MIDDLESEX, COUNTY OF (INC)",H89HA00049,HIV/AIDS,Middlesex County,NJ,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),306749.00,2016
H89HA00049,"MIDDLESEX, COUNTY OF (INC)",H89HA00049,HIV/AIDS,Middlesex County,NJ,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),2503837.00,2018
X07HA00009,"HEALTH, VIRGINIA DEPARTMENT OF",X07HA00009,HIV/AIDS,Richmond City,VA,X07,Ryan White Part B HIV Care Grant Program (X07),11710373.00,2016
X07HA00009,"HEALTH, VIRGINIA DEPARTMENT OF",X07HA00009,HIV/AIDS,Richmond City,VA,X07,Ryan White Part B HIV Care Grant Program (X07),26248788.00,2017
X07HA00009,"HEALTH, VIRGINIA DEPARTMENT OF",X07HA00009,HIV/AIDS,Richmond City,VA,X07,Ryan White Part B HIV Care Grant Program (X07),26329796.00,2018
X07HA00026,ARKANSAS DEPARTMENT OF HEALTH,X07HA00026,HIV/AIDS,Pulaski County,AR,X07,Ryan White Part B HIV Care Grant Program (X07),2315543.00,2016
X07HA00026,ARKANSAS DEPARTMENT OF HEALTH,X07HA00026,HIV/AIDS,Pulaski County,AR,X07,Ryan White Part B HIV Care Grant Program (X07),7744495.00,2017
X07HA00026,ARKANSAS DEPARTMENT OF HEALTH,X07HA00026,HIV/AIDS,Pulaski County,AR,X07,Ryan White Part B HIV Care Grant Program (X07),7976074.00,2018
H89HA00013,"PHILADELPHIA, CITY OF",H89HA00013,HIV/AIDS,Philadelphia County,PA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),22540627.00,2018
X07HA00017,"Health, New Jersey Department of",X07HA00017,HIV/AIDS,Mercer County,NJ,X07,Ryan White Part B HIV Care Grant Program (X07),14685144.00,2015
X07HA00017,"Health, New Jersey Department of",X07HA00017,HIV/AIDS,Mercer County,NJ,X07,Ryan White Part B HIV Care Grant Program (X07),1558444.00,2016
X07HA00017,"Health, New Jersey Department of",X07HA00017,HIV/AIDS,Mercer County,NJ,X07,Ryan White Part B HIV Care Grant Program (X07),26325037.00,2017
X07HA00017,"Health, New Jersey Department of",X07HA00017,HIV/AIDS,Mercer County,NJ,X07,Ryan White Part B HIV Care Grant Program (X07),39532095.00,2018
H89HA00018,"ALAMEDA, COUNTY OF",H89HA00018,HIV/AIDS,Alameda County,CA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),610076.00,2016
H89HA00018,"ALAMEDA, COUNTY OF",H89HA00018,HIV/AIDS,Alameda County,CA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),6447501.00,2018
P06HA31404,"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.",P06HA31404,HIV/AIDS,San Diego County,CA,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
X07HA00034,"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",X07HA00034,HIV/AIDS,Shawnee County,KS,X07,Ryan White Part B HIV Care Grant Program (X07),669643.00,2016
X07HA00034,"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",X07HA00034,HIV/AIDS,Shawnee County,KS,X07,Ryan White Part B HIV Care Grant Program (X07),3595486.00,2017
X07HA00034,"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",X07HA00034,HIV/AIDS,Shawnee County,KS,X07,Ryan White Part B HIV Care Grant Program (X07),3634584.00,2018
H89HA00001,"San Diego, County Of",H89HA00001,HIV/AIDS,San Diego County,CA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),138966.00,2016
H89HA00001,"San Diego, County Of",H89HA00001,HIV/AIDS,San Diego County,CA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),11004778.00,2018
X07HA00022,"Public Health, Connecticut Department of",X07HA00022,HIV/AIDS,Hartford County,CT,X07,Ryan White Part B HIV Care Grant Program (X07),3668008.00,2015
X07HA00022,"Public Health, Connecticut Department of",X07HA00022,HIV/AIDS,Hartford County,CT,X07,Ryan White Part B HIV Care Grant Program (X07),983278.00,2016
X07HA00022,"Public Health, Connecticut Department of",X07HA00022,HIV/AIDS,Hartford County,CT,X07,Ryan White Part B HIV Care Grant Program (X07),7975588.00,2017
X07HA00022,"Public Health, Connecticut Department of",X07HA00022,HIV/AIDS,Hartford County,CT,X07,Ryan White Part B HIV Care Grant Program (X07),10615083.00,2018
X07HA00049,"PUBLIC HEALTH, ALABAMA DEPARTMENT OF",X07HA00049,HIV/AIDS,Montgomery County,AL,X07,Ryan White Part B HIV Care Grant Program (X07),18437171.00,2017
X07HA00049,"PUBLIC HEALTH, ALABAMA DEPARTMENT OF",X07HA00049,HIV/AIDS,Montgomery County,AL,X07,Ryan White Part B HIV Care Grant Program (X07),19121678.00,2018
H89HA00009,MUNICIPALITY OF SAN JUAN,H89HA00009,HIV/AIDS,San Juan Municipio,PR,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),10925346.00,2018
X07HA00051,"Health & Human Services, North Carolina Department Of",X07HA00051,HIV/AIDS,Wake County,NC,X07,Ryan White Part B HIV Care Grant Program (X07),7007247.00,2015
X07HA00051,"Health & Human Services, North Carolina Department Of",X07HA00051,HIV/AIDS,Wake County,NC,X07,Ryan White Part B HIV Care Grant Program (X07),9478592.00,2016
X07HA00051,"Health & Human Services, North Carolina Department Of",X07HA00051,HIV/AIDS,Wake County,NC,X07,Ryan White Part B HIV Care Grant Program (X07),28356081.00,2017
X07HA00051,"Health & Human Services, North Carolina Department Of",X07HA00051,HIV/AIDS,Wake County,NC,X07,Ryan White Part B HIV Care Grant Program (X07),30002183.00,2018
H89HA00030,"Orange, County of",H89HA00030,HIV/AIDS,Orange County,FL,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),9936692.00,2018
H89HA00027,DENVER DEPARTMENT OF ENVIRONMENTAL HEALTH,H89HA00027,HIV/AIDS,Denver County,CO,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),7616463.00,2018
P06HA31597,"COMMUNITY HEALTH INTERVENTIONS & SICKLE CELL AGENCY, INCORPORATED",P06HA31597,HIV/AIDS,Cumberland County,NC,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),77500.00,2017
X07HA00045,"DISTRICT OF COLUMBIA, GOVERNMENT OF",X07HA00045,HIV/AIDS,District of Columbia,DC,X07,Ryan White Part B HIV Care Grant Program (X07),733456.00,2015
X07HA00045,"DISTRICT OF COLUMBIA, GOVERNMENT OF",X07HA00045,HIV/AIDS,District of Columbia,DC,X07,Ryan White Part B HIV Care Grant Program (X07),6300455.00,2016
X07HA00045,"DISTRICT OF COLUMBIA, GOVERNMENT OF",X07HA00045,HIV/AIDS,District of Columbia,DC,X07,Ryan White Part B HIV Care Grant Program (X07),16230130.00,2017
X07HA00045,"DISTRICT OF COLUMBIA, GOVERNMENT OF",X07HA00045,HIV/AIDS,District of Columbia,DC,X07,Ryan White Part B HIV Care Grant Program (X07),3930648.00,2018
P06HA31399,"DELTA HEALTH CENTER, INC.",P06HA31399,HIV/AIDS,Bolivar County,MS,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
H89HA00007,"FULTON, COUNTY OF",H89HA00007,HIV/AIDS,Fulton County,GA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),1837.00,2016
H89HA00007,"FULTON, COUNTY OF",H89HA00007,HIV/AIDS,Fulton County,GA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),26348674.00,2018
X07HA00052,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,X07HA00052,HIV/AIDS,,NA,X07,Ryan White Part B HIV Care Grant Program (X07),3135.00,2016
X07HA00052,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,X07HA00052,HIV/AIDS,,NA,X07,Ryan White Part B HIV Care Grant Program (X07),260943.00,2017
X07HA00052,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,X07HA00052,HIV/AIDS,,NA,X07,Ryan White Part B HIV Care Grant Program (X07),265180.00,2018
X07HA00084,"HEALTH, NEW MEXICO DEPARTMENT OF",X07HA00084,HIV/AIDS,Santa Fe County,NM,X07,Ryan White Part B HIV Care Grant Program (X07),94028.00,2015
X07HA00084,"HEALTH, NEW MEXICO DEPARTMENT OF",X07HA00084,HIV/AIDS,Santa Fe County,NM,X07,Ryan White Part B HIV Care Grant Program (X07),1448.00,2016
X07HA00084,"HEALTH, NEW MEXICO DEPARTMENT OF",X07HA00084,HIV/AIDS,Santa Fe County,NM,X07,Ryan White Part B HIV Care Grant Program (X07),4179439.00,2017
X07HA00084,"HEALTH, NEW MEXICO DEPARTMENT OF",X07HA00084,HIV/AIDS,Santa Fe County,NM,X07,Ryan White Part B HIV Care Grant Program (X07),4276592.00,2018
H89HA00026,"PATERSON, CITY OF (INC)",H89HA00026,HIV/AIDS,Passaic County,NJ,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),2.00,2016
H89HA00026,"PATERSON, CITY OF (INC)",H89HA00026,HIV/AIDS,Passaic County,NJ,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),4094253.00,2018
X07HA00042,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",X07HA00042,HIV/AIDS,Lancaster County,NE,X07,Ryan White Part B HIV Care Grant Program (X07),149026.00,2015
X07HA00042,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",X07HA00042,HIV/AIDS,Lancaster County,NE,X07,Ryan White Part B HIV Care Grant Program (X07),209412.00,2016
X07HA00042,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",X07HA00042,HIV/AIDS,Lancaster County,NE,X07,Ryan White Part B HIV Care Grant Program (X07),2740997.00,2017
X07HA00042,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",X07HA00042,HIV/AIDS,Lancaster County,NE,X07,Ryan White Part B HIV Care Grant Program (X07),2874981.00,2018
H89HA00016,COUNTY OF LOS ANGELES,H89HA00016,HIV/AIDS,Los Angeles County,CA,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),43438851.00,2018
P06HA31417,OKLAHOMA STATE UNIVERSITY,P06HA31417,HIV/AIDS,Tulsa County,OK,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
X07HA00086,MINISTRY OF HEALTH IN THE REP UBLIC OF THE MARSHALL ISLANDS,X07HA00086,HIV/AIDS,,MH,X07,Ryan White Part B HIV Care Grant Program (X07),1312.00,2015
X07HA00086,MINISTRY OF HEALTH IN THE REP UBLIC OF THE MARSHALL ISLANDS,X07HA00086,HIV/AIDS,,MH,X07,Ryan White Part B HIV Care Grant Program (X07),9080.00,2016
X07HA00086,MINISTRY OF HEALTH IN THE REP UBLIC OF THE MARSHALL ISLANDS,X07HA00086,HIV/AIDS,,MH,X07,Ryan White Part B HIV Care Grant Program (X07),39813.00,2017
X07HA00086,MINISTRY OF HEALTH IN THE REP UBLIC OF THE MARSHALL ISLANDS,X07HA00086,HIV/AIDS,,MH,X07,Ryan White Part B HIV Care Grant Program (X07),816.00,2018
X07HA00081,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,X07HA00081,HIV/AIDS,Kent County,DE,X07,Ryan White Part B HIV Care Grant Program (X07),182206.00,2016
X07HA00081,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,X07HA00081,HIV/AIDS,Kent County,DE,X07,Ryan White Part B HIV Care Grant Program (X07),4917535.00,2017
X07HA00081,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,X07HA00081,HIV/AIDS,Kent County,DE,X07,Ryan White Part B HIV Care Grant Program (X07),4924238.00,2018
X07HA00048,"HEALTH DEPARTMENT, OKLAHOMA STATE",X07HA00048,HIV/AIDS,Oklahoma County,OK,X07,Ryan White Part B HIV Care Grant Program (X07),5684769.00,2015
X07HA00048,"HEALTH DEPARTMENT, OKLAHOMA STATE",X07HA00048,HIV/AIDS,Oklahoma County,OK,X07,Ryan White Part B HIV Care Grant Program (X07),27380.00,2016
X07HA00048,"HEALTH DEPARTMENT, OKLAHOMA STATE",X07HA00048,HIV/AIDS,Oklahoma County,OK,X07,Ryan White Part B HIV Care Grant Program (X07),2812012.00,2017
X07HA00048,"HEALTH DEPARTMENT, OKLAHOMA STATE",X07HA00048,HIV/AIDS,Oklahoma County,OK,X07,Ryan White Part B HIV Care Grant Program (X07),8529299.00,2018
P06HA31405,Lifelong Medical Care,P06HA31405,HIV/AIDS,Alameda County,CA,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
X07HA00008,"Health & Family Services, Kentucky Cabinet for",X07HA00008,HIV/AIDS,Franklin County,KY,X07,Ryan White Part B HIV Care Grant Program (X07),388.00,2015
X07HA00008,"Health & Family Services, Kentucky Cabinet for",X07HA00008,HIV/AIDS,Franklin County,KY,X07,Ryan White Part B HIV Care Grant Program (X07),2429279.00,2016
X07HA00008,"Health & Family Services, Kentucky Cabinet for",X07HA00008,HIV/AIDS,Franklin County,KY,X07,Ryan White Part B HIV Care Grant Program (X07),9592973.00,2017
X07HA00008,"Health & Family Services, Kentucky Cabinet for",X07HA00008,HIV/AIDS,Franklin County,KY,X07,Ryan White Part B HIV Care Grant Program (X07),9791461.00,2018
P06HA31411,ERIE COUNTY MEDICAL CENTER CORP.,P06HA31411,HIV/AIDS,Erie County,NY,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),32852.00,2017
P06HA31406,"La Clinica Del Pueblo, Inc.",P06HA31406,HIV/AIDS,District of Columbia,DC,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
X07HA00053,"WYOMING, DEPARTMENT OF HEALTH",X07HA00053,HIV/AIDS,Laramie County,WY,X07,Ryan White Part B HIV Care Grant Program (X07),738083.00,2017
X07HA00053,"WYOMING, DEPARTMENT OF HEALTH",X07HA00053,HIV/AIDS,Laramie County,WY,X07,Ryan White Part B HIV Care Grant Program (X07),753387.00,2018
P06HA31412,"Housing Works Health Services III, Inc.",P06HA31412,HIV/AIDS,Kings County,NY,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),150000.00,2017
H89HA00003,"CITY OF NEWARK, NEW JERSEY",H89HA00003,HIV/AIDS,Essex County,NJ,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),29497.00,2016
H89HA00003,"CITY OF NEWARK, NEW JERSEY",H89HA00003,HIV/AIDS,Essex County,NJ,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),12514711.00,2018
X07HA12778,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",X07HA12778,HIV/AIDS,Sacramento County,CA,X07,Ryan White Part B HIV Care Grant Program (X07),4002005.00,2016
X07HA12778,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",X07HA12778,HIV/AIDS,Sacramento County,CA,X07,Ryan White Part B HIV Care Grant Program (X07),137550889.00,2017
X07HA12778,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",X07HA12778,HIV/AIDS,Sacramento County,CA,X07,Ryan White Part B HIV Care Grant Program (X07),140198224.00,2018
X07HA00085,REPUBLIC OF PALAU,X07HA00085,HIV/AIDS,Koror State,NA,X07,Ryan White Part B HIV Care Grant Program (X07),3186.00,2016
X07HA00085,REPUBLIC OF PALAU,X07HA00085,HIV/AIDS,Koror State,NA,X07,Ryan White Part B HIV Care Grant Program (X07),53250.00,2017
X07HA00085,REPUBLIC OF PALAU,X07HA00085,HIV/AIDS,Koror State,NA,X07,Ryan White Part B HIV Care Grant Program (X07),962.00,2018
H89HA11464,"SHELBY, COUNTY OF",H89HA11464,HIV/AIDS,Shelby County,TN,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),6744503.00,2018
X07HA00002,"HEALTH AND WELFARE, IDAHO DEPARTMENT OF",X07HA00002,HIV/AIDS,Ada County,ID,X07,Ryan White Part B HIV Care Grant Program (X07),1543940.00,2017
X07HA00002,"HEALTH AND WELFARE, IDAHO DEPARTMENT OF",X07HA00002,HIV/AIDS,Ada County,ID,X07,Ryan White Part B HIV Care Grant Program (X07),1735633.00,2018
X07HA00007,"HUMAN SERVICES, OREGON DEPARTMENT OF",X07HA00007,HIV/AIDS,Marion County,OR,X07,Ryan White Part B HIV Care Grant Program (X07),5689165.00,2016
X07HA00007,"HUMAN SERVICES, OREGON DEPARTMENT OF",X07HA00007,HIV/AIDS,Marion County,OR,X07,Ryan White Part B HIV Care Grant Program (X07),6477972.00,2017
X07HA00007,"HUMAN SERVICES, OREGON DEPARTMENT OF",X07HA00007,HIV/AIDS,Marion County,OR,X07,Ryan White Part B HIV Care Grant Program (X07),347782.00,2018
X07HA00010,South Dakota Department of Health,X07HA00010,HIV/AIDS,Hughes County,SD,X07,Ryan White Part B HIV Care Grant Program (X07),915224.00,2017
X07HA00010,South Dakota Department of Health,X07HA00010,HIV/AIDS,Hughes County,SD,X07,Ryan White Part B HIV Care Grant Program (X07),939965.00,2018
H89HA00034,"COUNTY OF, PALM BEACH",H89HA00034,HIV/AIDS,Palm Beach County,FL,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),7425449.00,2018
H89HA00020,"NASSAU, COUNTY OF",H89HA00020,HIV/AIDS,Nassau County,NY,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),186.00,2016
H89HA00020,"NASSAU, COUNTY OF",H89HA00020,HIV/AIDS,Nassau County,NY,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),5644616.00,2018
P06HA31401,New Hanover Regional Medical Center,P06HA31401,HIV/AIDS,New Hanover County,NC,P06,Ryan White Title III HIV Capacity Development and Planning Grants (P06),68955.00,2017
H89HA11433,"NASHVILLE & DAVIDSON COUNTY, METROPOLITAN GOVERNMENT OF",H89HA11433,HIV/AIDS,Davidson County,TN,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),4350406.00,2018
H89HA00021,"Detroit, City of",H89HA00021,HIV/AIDS,Wayne County,MI,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),118629.00,2016
H89HA00021,"Detroit, City of",H89HA00021,HIV/AIDS,Wayne County,MI,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),9469909.00,2018
H89HA00015,"NEW YORK, CITY OF",H89HA00015,HIV/AIDS,Queens County,NY,H89,Ryan White Part A HIV Emergency Relief Grant Program (H89),95799060.00,2018
X07HA00089,DEPARTMENT OF HEALTH,X07HA00089,HIV/AIDS,Western District,AS,X07,Ryan White Part B HIV Care Grant Program (X07),23876.00,2015
